LDR,100,245,260,506,516,653 [1],653 [2],653 [3],653 [4],653 [5],830,856
00813nas a2200241uu 4500," Lamartine, Alphonse de,  1790-1869", Cours familier de Littérature - Volume 03  [electronic resource] /  Alphonse de Lamartine," Project Gutenberg,  2008", Public domain in the USA., Text, France -- Politics and government -- 1789-1900, French literature -- History and criticism, Literature -- History and criticism,,, Project Gutenberg  25276, http://www.gutenberg.org/ebooks/25276
00699nas a2200229uu 4500," Hoit, T. W.  (True Worthy),  1815-", The Right of American Slavery  [electronic resource] /  T. W. Hoit," Project Gutenberg,  2008", Public domain in the USA., Text, Slavery -- Justification, Slavery -- United States,,,, Project Gutenberg  25277, http://www.gutenberg.org/ebooks/25277
00691nas a2200217uu 4500," Rexford, Eben E.  (Eben Eugene),  1848-1916", Amateur Gardencraft :  A Book for the Home-Maker and Garden Lover  [electronic resource] /  Eben E. Rexford," Project Gutenberg,  2008", Public domain in the USA., Text, Gardening,,,,, Project Gutenberg  25278, http://www.gutenberg.org/ebooks/25278
00674nas a2200229uu 4500," Su'anzhuren,  18th cent.", ???  [electronic resource] /  Su'anzhuren," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese fiction -- Qing dynasty, 1644-1912",,,,, Project Gutenberg  25279, http://www.gutenberg.org/ebooks/25279
00697nas a2200229uu 4500," Liu, Su, active 806-820"," ????  [electronic resource] /  Su, active 806-820 Liu"," Project Gutenberg,  2008", Public domain in the USA., Text," China -- History -- Tang dynasty, 618-907 -- Anecdotes",,,,, Project Gutenberg  25280, http://www.gutenberg.org/ebooks/25280
00665nas a2200217uu 4500," Williams, James,  1851-1911", Briefless Ballads and Legal Lyrics :   Second Series  [electronic resource] /  James Williams," Project Gutenberg,  2008", Public domain in the USA., Text, Law -- Poetry,,,,, Project Gutenberg  25281, http://www.gutenberg.org/ebooks/25281
00799nas a2200265uu 4500," Herzl, Theodor,  1860-1904", The Jewish State  [electronic resource] /  Theodor Herzl," Project Gutenberg,  2008", Public domain in the USA., Text," Herzl, Theodor, 1860-1904", Zionists -- Austria -- Biography, Zionism,,, Project Gutenberg  25282, http://www.gutenberg.org/ebooks/25282
00681nas a2200229uu 4500," De la Roche, Mazo,  1879-1961", Explorers of the Dawn  [electronic resource] /  Mazo De la Roche," Project Gutenberg,  2008", Public domain in the USA., Text, Governesses -- Fiction, Brothers -- Fiction,,,, Project Gutenberg  25283, http://www.gutenberg.org/ebooks/25283
00692nas a2200229uu 4500," Yunyangchichidaoren,  17th/18th cent.", ???  [electronic resource] /  Yunyangchichidaoren," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese fiction -- Qing dynasty, 1644-1912",,,,, Project Gutenberg  25284, http://www.gutenberg.org/ebooks/25284
00650nas a2200217uu 4500," Valera, Paolo,  1850-1926", Dal cellulare a Finalborgo  [electronic resource] /  Paolo Valera," Project Gutenberg,  2008", Public domain in the USA., Text, Anarchists -- Italy -- Biography,,,,, Project Gutenberg  25285, http://www.gutenberg.org/ebooks/25285
00717nas a2200241uu 4500, Xihuyuyinzhuren, ????  [electronic resource] /  Xihuyuyinzhuren," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese fiction -- Ming dynasty, 1368-1644"," Erotic literature, Chinese",,,, Project Gutenberg  25286, http://www.gutenberg.org/ebooks/25286
00665nas a2200229uu 4500," Gong, Pingzhong,  11th cent.", ???  [electronic resource] /  Pingzhong Gong," Project Gutenberg,  2008", Public domain in the USA., Text, China -- History -- Anecdotes,,,,, Project Gutenberg  25287, http://www.gutenberg.org/ebooks/25287
00741nas a2200253uu 4500,, ???  [electronic resource] /  Anonymous," Project Gutenberg,  2008", Public domain in the USA., Text," Mythology, Chinese", Ethnology -- China, China -- Description and travel,,, Project Gutenberg  25288, http://www.gutenberg.org/ebooks/25288
00667nas a2200229uu 4500," Yan, Yu,  12th cent.", ????  [electronic resource] /  Yu Yan," Project Gutenberg,  2008", Public domain in the USA., Text, Chinese poetry -- History and criticism,,,,, Project Gutenberg  25289, http://www.gutenberg.org/ebooks/25289
00661nas a2200229uu 4500," Crane, Walter,  1845-1915", Line and Form (1900)  [electronic resource] /  Walter Crane," Project Gutenberg,  2008", Public domain in the USA., Text, Decoration and ornament, Drawing,,,, Project Gutenberg  25290, http://www.gutenberg.org/ebooks/25290
00666nas a2200229uu 4500," Cohen, Chapman,  1868-", Theism or Atheism :  The Great Alternative  [electronic resource] /  Chapman Cohen," Project Gutenberg,  2008", Public domain in the USA., Text, Theism, Atheism,,,, Project Gutenberg  25291, http://www.gutenberg.org/ebooks/25291
00626nas a2200217uu 4500," Miller, Olive Thorne,  1831-1918", In Nesting Time  [electronic resource] /  Olive Thorne Miller," Project Gutenberg,  2008", Public domain in the USA., Text, Birds,,,,, Project Gutenberg  25292, http://www.gutenberg.org/ebooks/25292
00785nas a2200241uu 4500," Stone, Pauline,  1864-", The Kirk on Rutgers Farm  [electronic resource] /  Pauline Stone," Project Gutenberg,  2008", Public domain in the USA., Text," Presbyterian Church of the Sea and Land (New York, N.Y.)"," Rutgers, Henry, 1745-1830"," Market Street Dutch Reformed Church (New York, N.Y.)",,, Project Gutenberg  25293, http://www.gutenberg.org/ebooks/25293
00738nas a2200241uu 4500," Burgess, Fred. W.  (Frederick William),  1855-1945", Chats on Household Curios  [electronic resource] /  Fred. W. Burgess," Project Gutenberg,  2008", Public domain in the USA., Text, Collectors and collecting, Interior decoration, Antiques,,, Project Gutenberg  25294, http://www.gutenberg.org/ebooks/25294
00701nas a2200217uu 4500," Douglass, Ellsworth", Pharaoh's Broker :   Being the Very Remarkable Experiences in Another World of Isidor Werner  [electronic resource] /  Ellsworth Douglass," Project Gutenberg,  2008", Public domain in the USA., Text, Science fiction,,,,, Project Gutenberg  25295, http://www.gutenberg.org/ebooks/25295
00656nas a2200217uu 4500," Kol, H. van"," Dominica :   De Aarde en haar Volken, 1904  [electronic resource] /  H. van Kol"," Project Gutenberg,  2008", Public domain in the USA., Text, Dominica -- Description and travel,,,,, Project Gutenberg  25296, http://www.gutenberg.org/ebooks/25296
00694nas a2200241uu 4500," Lu, Xun,  1881-1936", ????  [electronic resource] /  Xun Lu," Project Gutenberg,  2008", Public domain in the USA., Text, Diaries -- Fiction, Chinese fiction -- 20th century,,,, Project Gutenberg  25297, http://www.gutenberg.org/ebooks/25297
00686nas a2200241uu 4500," Liu, Ji,  1311-1375", ???  [electronic resource] /  Ji Liu," Project Gutenberg,  2008", Public domain in the USA., Text, Philosophy -- Early works to 1800, China -- Anecdotes,,,, Project Gutenberg  25298, http://www.gutenberg.org/ebooks/25298
00685nas a2200229uu 4500," Jefferies, Richard,  1848-1887", Wood Magic :  A Fable  [electronic resource] /  Richard Jefferies," Project Gutenberg,  2008", Public domain in the USA., Text, Animals -- Fiction, Country life -- Fiction,,,, Project Gutenberg  25299, http://www.gutenberg.org/ebooks/25299
00946nas a2200229uu 4500,," The Causes of the Rebellion in Ireland Disclosed :   In an Address to the People of England, in Which It Is Proved by Incontrovertible Facts, That the System for Some Years Pursued in That Country, Has Driven It into Its Present Dreadful Situation  [electronic resource] /  Anonymous"," Project Gutenberg,  2008", Public domain in the USA., Text, Ireland -- Politics and government -- 1760-1820, Great Britain -- Politics and government -- 1714-1820, Irish question,,, Project Gutenberg  25300, http://www.gutenberg.org/ebooks/25300
00700nas a2200229uu 4500," Cady, Harrison,  1877-1970", The Adventures of Danny Meadow Mouse  [electronic resource] /  Harrison Cady," Project Gutenberg,  2008", Public domain in the USA., Text, Animals -- Juvenile fiction, Mice -- Juvenile fiction,,,, Project Gutenberg  25301, http://www.gutenberg.org/ebooks/25301
00602nas a2200205uu 4500," Sherwood, Mary Neal,  1840-1897", Jack :   1877  [electronic resource] /  Mary Neal Sherwood," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25302, http://www.gutenberg.org/ebooks/25302
00770nas a2200229uu 4500," Victor, Metta Victoria Fuller,  1831-1885", The Bad Boy At Home :   And His Experiences In Trying To Become An Editor - 1885  [electronic resource] /  Metta Victoria Fuller Victor," Project Gutenberg,  2008", Public domain in the USA., Text, Newspapers -- Fiction, American wit and humor,,,, Project Gutenberg  25303, http://www.gutenberg.org/ebooks/25303
00655nas a2200217uu 4500," Bierce, Ambrose,  1842-1913"," The Shadow On The Dial, and Other Essays :   1909  [electronic resource] /  Ambrose Bierce"," Project Gutenberg,  2008", Public domain in the USA., Text, Essays,,,,, Project Gutenberg  25304, http://www.gutenberg.org/ebooks/25304
00777nas a2200241uu 4500," Cleland, John,  1709-1789"," Memoirs Of Fanny Hill :   A New and Genuine Edition from the Original Text (London, 1749)  [electronic resource] /  John Cleland"," Project Gutenberg,  2008", Public domain in the USA., Text, Prostitutes -- Fiction, Erotic stories, England -- Fiction,,, Project Gutenberg  25305, http://www.gutenberg.org/ebooks/25305
00660nas a2200217uu 4500," Neill, Alexander Sutherland,  1883-1973", A Dominie in Doubt  [electronic resource] /  Alexander Sutherland Neill," Project Gutenberg,  2008", Public domain in the USA., Text, Educational psychology,,,,, Project Gutenberg  25306, http://www.gutenberg.org/ebooks/25306
00700nas a2200229uu 4500," Pearce, J. H.  (Joseph Henry),  1856-", Drolls From Shadowland  [electronic resource] /  J. H. Pearce," Project Gutenberg,  2008", Public domain in the USA., Text, Cornwall (England : County) -- Fiction, Fantasy fiction,,,, Project Gutenberg  25307, http://www.gutenberg.org/ebooks/25307
00651nas a2200217uu 4500," Chesterton, G. K.  (Gilbert Keith),  1874-1936", Eugenics and Other Evils  [electronic resource] /  G. K. Chesterton," Project Gutenberg,  2008", Public domain in the USA., Text, Eugenics,,,,, Project Gutenberg  25308, http://www.gutenberg.org/ebooks/25308
00668nas a2200217uu 4500," Lathbury, Mary A.  (Mary Artemisia),  1841-1913", Child's Story of the Bible  [electronic resource] /  Mary A. Lathbury," Project Gutenberg,  2008", Public domain in the USA., Text," Bible stories, English",,,,, Project Gutenberg  25309, http://www.gutenberg.org/ebooks/25309
00849nas a2200253uu 4500," Desgenettes, R.  (René),  1762-1837", Histoire Médicale de l'Armée d'Orient. Volume 1  [electronic resource] /  R. Desgenettes," Project Gutenberg,  2008", Public domain in the USA., Text, France. Armée -- Sanitary affairs," Egypt -- History -- French occupation, 1798-1801", Medical geography -- Egypt," Medicine, Military -- France",, Project Gutenberg  25310, http://www.gutenberg.org/ebooks/25310
00626nas a2200217uu 4500," Stankievi?, V.", El la vivo de esperantistoj  [electronic resource] /  V. Stankievi?," Project Gutenberg,  2008", Public domain in the USA., Text, Esperanto fiction,,,,, Project Gutenberg  25311, http://www.gutenberg.org/ebooks/25311
00623nas a2200217uu 4500," Fontana, Ferdinando,  1850-1919", Nabuco  [electronic resource] /  Ferdinando Fontana," Project Gutenberg,  2008", Public domain in the USA., Text, Italian drama,,,,, Project Gutenberg  25312, http://www.gutenberg.org/ebooks/25312
00710nas a2200217uu 4500," Mascarenhas, Miguel J. T.", Um conto portuguez :  episodio da guerra civil: a Maria da Fonte  [electronic resource] /  Miguel J. T. Mascarenhas," Project Gutenberg,  2008", Public domain in the USA., Text," Portugal -- History -- Maria II, 1834-1853",,,,, Project Gutenberg  25313, http://www.gutenberg.org/ebooks/25313
00661nas a2200229uu 4500," Wang, Xianqian,  1842-1918", ????  [electronic resource] /  Xianqian Wang," Project Gutenberg,  2008", Public domain in the USA., Text," Xunzi, 340-245 B.C. Xunzi",,,,, Project Gutenberg  25314, http://www.gutenberg.org/ebooks/25314
00682nas a2200241uu 4500," Yuan, Mei,  1716-1798", ????  [electronic resource] /  Mei Yuan," Project Gutenberg,  2008", Public domain in the USA., Text, Short stories," Fantasy fiction, Chinese",,,, Project Gutenberg  25315, http://www.gutenberg.org/ebooks/25315
00687nas a2200229uu 4500," Standish, Burt L.,  1866-1945"," Frank Merriwell's Son; Or, A Chip Off the Old Block  [electronic resource] /  Burt L. Standish"," Project Gutenberg,  2008", Public domain in the USA., Text, Adventure stories,,,,, Project Gutenberg  25316, http://www.gutenberg.org/ebooks/25316
00928nas a2200253uu 4500," Angelis, Pedro de,  1784-1859", La Argentina :   La conquista del Rio de La Plata. Poema histórico  [electronic resource] /  Pedro de Angelis," Project Gutenberg,  2008", Public domain in the USA., Text, Argentina -- History -- 1535-1617 -- Poetry, America -- Discovery and exploration -- Spanish -- Poetry, Rio de la Plata Region (Argentina and Uruguay) -- History -- Poetry, America -- Early accounts to 1600,, Project Gutenberg  25317, http://www.gutenberg.org/ebooks/25317
00757nas a2200217uu 4500," Belgioioso, Cristina,  1808-1871", Studi intorno alla storia della Lombardia :   negli ultimi trent'anni e delle cagioni del difetto d'energia dei lombardi  [electronic resource] /  Cristina Belgioioso," Project Gutenberg,  2008", Public domain in the USA., Text, Lombardy (Italy) -- History,,,,, Project Gutenberg  25318, http://www.gutenberg.org/ebooks/25318
00777nas a2200253uu 4500," Gogh-Kaulbach, Anna van,  1869-1960", De Ongelikte Beer  [electronic resource] /  Anna van Gogh-Kaulbach," Project Gutenberg,  2008", Public domain in the USA., Text, Boxing stories, Boxers (Sports) -- Fiction,,,, Project Gutenberg  25319, http://www.gutenberg.org/ebooks/25319
00611nas a2200217uu 4500," Pomés, Ramón,  1833-1907", Paternidad  [electronic resource] /  Ramón Pomés," Project Gutenberg,  2008", Public domain in the USA., Text, Fiction,,,,, Project Gutenberg  25320, http://www.gutenberg.org/ebooks/25320
00604nas a2200217uu 4500," Xu, Ren Tu,  1009-1066", ???  [electronic resource] /  Ren Tu Xu," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25321, http://www.gutenberg.org/ebooks/25321
00660nas a2200229uu 4500," Newman, Clyde J.,  1866-1944", Fables in Slang  [electronic resource] /  Clyde J. Newman," Project Gutenberg,  2008", Public domain in the USA., Text, Fables, American wit and humor,,,, Project Gutenberg  25322, http://www.gutenberg.org/ebooks/25322
00650nas a2200217uu 4500," Zuiyueshanren, active 1804-1876", ?????  [electronic resource] /  active 1804-1876 Zuiyueshanren," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25323, http://www.gutenberg.org/ebooks/25323
00676nas a2200229uu 4500,, ????  [electronic resource]," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese poetry -- Qin and Han dynasties, 221 B.C.-220 A.D.", Chinese poetry -- 220-589,,,, Project Gutenberg  25324, http://www.gutenberg.org/ebooks/25324
00758nas a2200229uu 4500,," The International Monthly, Volume 3, No. 1, April, 1851  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text," Literature, Modern -- 19th century -- Periodicals"," Art, Modern -- 19th century -- Periodicals", Science -- History -- Periodicals,,, Project Gutenberg  25325, http://www.gutenberg.org/ebooks/25325
00775nas a2200229uu 4500," De Vere, Gaston du C.,  1511-1574"," Lives of the Most Eminent Painters Sculptors and Architects, Vol. 01 (of 10) :   Cimabue to Agnolo Gaddi  [electronic resource] /  Gaston du C. De Vere"," Project Gutenberg,  2008", Public domain in the USA., Text, Artists -- Italy -- Biography," Art, Italian",,,, Project Gutenberg  25326, http://www.gutenberg.org/ebooks/25326
